Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47pF","C_0402_1005Metric",138.400000,-106.900000,90.000000,top
"C2","47pF","C_0402_1005Metric",138.400000,-111.100000,-90.000000,top
"C3","10uF","C_0805_2012Metric",114.900000,-89.200000,0.000000,top
"C4","1uF","C_0402_1005Metric",100.600000,-96.000000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",114.400000,-90.900000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",101.800000,-96.000000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",113.200000,-99.400000,-135.000000,top
"C8","1uF","C_0402_1005Metric",114.000000,-100.200000,-135.000000,top
"C9","10uF","C_0805_2012Metric",112.900000,-106.000000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",112.500000,-100.900000,-45.000000,top
"C11","0.1uF","C_0402_1005Metric",116.000000,-98.400000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",108.900000,-88.600000,0.000000,top
"C13","10uF","C_0805_2012Metric",108.400000,-86.200000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",127.600000,-100.980000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",133.700000,-99.300000,0.000000,top
"C16","33pF","C_0402_1005Metric",118.900000,-83.400000,180.000000,top
"C17","33pF","C_0402_1005Metric",110.100000,-81.200000,180.000000,top
"D1","USB_RX","LED_0805",121.850000,-115.750000,180.000000,top
"D2","USB_TX","LED_0805",136.850000,-115.750000,0.000000,top
"FB1","600R","L_0603_1608Metric",108.412500,-106.000000,180.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",146.000000,-108.600000,90.000000,top
"R1","4.75K","R_0402_1005Metric",141.400000,-112.850000,90.000000,top
"R2","10K","R_0402_1005Metric",141.400000,-115.500000,90.000000,top
"R3","DNP","R_0402_1005Metric",97.000000,-88.400000,180.000000,top
"R4","DNP","R_0402_1005Metric",97.000000,-90.200000,180.000000,top
"R5","DNP","R_0402_1005Metric",97.000000,-85.300000,180.000000,top
"R6","DNP","R_0402_1005Metric",97.000000,-86.400000,180.000000,top
"R7","2.2K","R_0402_1005Metric",97.000000,-82.900000,180.000000,top
"R8","2.2K","R_0402_1005Metric",114.400000,-92.000000,0.000000,top
"R9","27","R_0402_1005Metric",137.900000,-108.500000,0.000000,top
"R10","27","R_0402_1005Metric",137.900000,-109.500000,0.000000,top
"R11","2.2K","R_0402_1005Metric",114.400000,-93.100000,0.000000,top
"R12","680","R_0805_2012Metric",127.350000,-115.750000,0.000000,top
"R13","680","R_0805_2012Metric",131.700000,-115.750000,180.000000,top
"R14","4.87K","R_0603_1608Metric",116.600000,-97.000000,180.000000,top
"R15","49.9","R_0402_1005Metric",130.900000,-99.300000,0.000000,top
"R16","49.9","R_0402_1005Metric",128.900000,-99.300000,180.000000,top
"R17","49.9","R_0402_1005Metric",126.300000,-99.300000,0.000000,top
"R18","49.9","R_0402_1005Metric",124.300000,-99.300000,180.000000,top
"R19","330","R_0805_2012Metric",140.500000,-99.950000,0.000000,top
"R20","330","R_0805_2012Metric",140.500000,-102.000000,0.000000,top
"R21","0","R_0603_1608Metric",114.400000,-85.800000,180.000000,top
"U1","FT230XS","SSOP-16_3.9x4.9mm_P0.635mm",129.200000,-109.000000,90.000000,top
"U2","DP83848J","QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias",108.000000,-96.000000,45.000000,top
"Y1","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",114.400000,-82.300000,90.000000,top
